dataset,column,dtype,missing_count,missing_rate,non_missing_rate,unique_count
HRS,s14mstotp,float64,41214,0.9111287969226688,0.0888712030773312,15
HRS,s14cogtotp,float64,41214,0.9111287969226688,0.0888712030773312,35
HRS,s14cog27,float64,36260,0.8016094088517487,0.1983905911482513,28
HRS,s14cogmode,float64,36260,0.8016094088517487,0.1983905911482513,2
HRS,s14dborlmed,float64,42791,0.9459919529557412,0.05400804704425877,2
HRS,s14dbinsuln,float64,43469,0.9609806782508732,0.03901932174912681,2
HRS,s14dbdiagyr,float64,43014,0.950921872927444,0.04907812707255599,61
HRS,s14dbstage,float64,42679,0.9435159393376663,0.05648406066233369,8
HRS,s14dbdiagyf,float64,34967,0.7730247159216519,0.2269752840783481,4
HRS,s14deppor,float64,44203,0.9772074103550427,0.02279258964495734,4
HRS,s14depevd,float64,44695,0.9880841844630145,0.011915815536985508,3
HRS,s14depnit,float64,44936,0.993412035194765,0.006587964805235047,3
HRS,s14depyr,float64,36277,0.8019852323473493,0.1980147676526507,2
HRS,s14deplos,float64,44773,0.9898085510898882,0.010191448910111811,2
HRS,s14deptir,float64,44772,0.989786443825441,0.010213556174558991,2
HRS,s14depnoap,float64,44773,0.9898085510898882,0.010191448910111811,2
HRS,s14dephun,float64,45069,0.996352301366229,0.0036476986337710127,2
HRS,s14depsle,float64,44772,0.989786443825441,0.010213556174558991,2
HRS,s14depcon,float64,44771,0.9897643365609939,0.01023566343900606,2
HRS,s14depdown,float64,44774,0.9898306583543353,0.010169341645664742,2
HRS,s14deptho,float64,44771,0.9897643365609939,0.01023566343900606,2
HRS,s14deprecm,float64,44851,0.9915329177167618,0.008467082283238225,12
HRS,s14depwks,float64,44791,0.9902064818499359,0.009793518150064129,40
HRS,s14eyert,float64,35891,0.7934518282707698,0.20654817172923023,5
HRS,s14earaid,float64,36697,0.8112702834151302,0.1887297165848698,2
HRS,s14earrt,float64,35887,0.7933633992129814,0.20663660078701862,5
HRS,s14eyecat,float64,41896,0.9262059512755891,0.07379404872441087,2
HRS,s14eyenr,float64,35891,0.7934518282707698,0.20654817172923023,5
HRS,s14eyefr,float64,35890,0.7934297210063227,0.2065702789936773,5
HRS,s14eyeglc,float64,41205,0.910929831542645,0.08907016845735505,2
HRS,s14sleepfal,float64,35898,0.7936065791218995,0.20639342087810053,3
HRS,s14sleepwkn,float64,35911,0.7938939735597117,0.2061060264402883,3
HRS,s14sleepwke,float64,35892,0.7934739355352168,0.20652606446478317,3
HRS,s14sleeprt,float64,35894,0.7935181500641111,0.20648184993588892,3
HRS,s14sleepsn,float64,36027,0.796458416235575,0.203541583764425,4
HRS,s14sleepbr,float64,39750,0.8787637617721183,0.12123623822788165,4
HRS,s14sleept,float64,39196,0.8665163372684264,0.13348366273157364,2
HRS,s14stxoxy,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxpre,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxsrg,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxjaw,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxnerve,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxstrip,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxoth,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14stxmed,float64,44366,0.9808108944599195,0.019189105540080464,2
HRS,s14sdapnea,float64,35943,0.7946014060220188,0.20539859397798121,2
HRS,s14sdinsom,float64,35943,0.7946014060220188,0.20539859397798121,2
HRS,s14sdrstlg,float64,35943,0.7946014060220188,0.20539859397798121,2
HRS,s14sdoth,float64,35943,0.7946014060220188,0.20539859397798121,2
HRS,s14sdnrclps,float64,35943,0.7946014060220188,0.20539859397798121,2
HRS,s15shlt,float64,36762,0.8127072556041915,0.18729274439580845,5
HRS,s15shltc,float64,36923,0.8162665251801742,0.18373347481982583,9
HRS,s15shltcf,float64,36923,0.8162665251801742,0.18373347481982583,7
HRS,s15hltc3,float64,36942,0.816686563204669,0.18331343679533096,3
HRS,s15effort,float64,37196,0.8223018083742317,0.17769819162576828,2
HRS,s15depres,float64,37196,0.8223018083742317,0.17769819162576828,2
HRS,s15sleepr,float64,37198,0.822346022903126,0.17765397709687403,2
HRS,s15flone,float64,37187,0.8221028429942079,0.17789715700579212,2
HRS,s15fsad,float64,37194,0.8222575938453376,0.1777424061546624,2
HRS,s15going,float64,37208,0.822567095547597,0.177432904452403,2
HRS,s15whappy,float64,37194,0.8222575938453376,0.1777424061546624,2
HRS,s15enlife,float64,37190,0.8221691647875492,0.1778308352124508,2
HRS,s15cesd,float64,37177,0.821881770349737,0.17811822965026303,9
HRS,s15cesdm,float64,36757,0.8125967192819561,0.1874032807180439,7
HRS,s15vgactx,float64,36803,0.8136136534465225,0.18638634655347752,5
HRS,s15mdactx,float64,36784,0.8131936154220277,0.18680638457797227,5
HRS,s15ltactx,float64,36790,0.8133262590087103,0.18667374099128975,5
HRS,s15flusht,float64,36775,0.8129946500420038,0.18700534995799623,2
HRS,s15cholst,float64,36821,0.8140115842065703,0.18598841579342973,2
HRS,s15mammog,float64,41005,0.9065083786532254,0.09349162134677458,2
HRS,s15papsm,float64,41016,0.9067515585621435,0.09324844143785649,2
HRS,s15prost,float64,41077,0.9081001016934165,0.09189989830658352,2
HRS,s15bmi,float64,36900,0.8157580580978909,0.18424194190210907,388
HRS,s15height,float64,36795,0.8134367953309457,0.1865632046690543,88
HRS,s15weight,float64,36866,0.8150064111066897,0.1849935888933103,260
HRS,s15back,float64,36802,0.8135915461820754,0.1864084538179246,2
HRS,s15smokev,float64,36778,0.8130609718353451,0.1869390281646549,2
HRS,s15smoken,float64,36839,0.8144095149666181,0.18559048503338194,2
HRS,s15drink,float64,36765,0.8127735773975329,0.18722642260246714,2
HRS,s15drinkd,float64,36798,0.813503117124287,0.18649688287571298,8
HRS,s15drinkn,float64,36794,0.8134146880664986,0.18658531193350136,18
HRS,s15nsscre,float64,37829,0.8362957067692444,0.16370429323075564,29
HRS,s15nsscse,float64,37192,0.8222133793164433,0.17778662068355666,13
HRS,s15hibp,float64,36762,0.8127072556041915,0.18729274439580845,4
HRS,s15diab,float64,36762,0.8127072556041915,0.18729274439580845,4
HRS,s15cancr,float64,36766,0.8127956846619799,0.18720431533802007,3
HRS,s15lung,float64,36765,0.8127735773975329,0.18722642260246714,4
HRS,s15heart,float64,36765,0.8127735773975329,0.18722642260246714,4
