observed_fraction,observed_rows,hidden_rows,test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,hidden_spd,reconstructed_spd,spd_absolute_gap,runtime_seconds,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.2,4199,16799,8400,20,3,0.24371093517471276,0.3239392598482644,1.5940096737978964,1.2420227708708158,0.011786415858086798,0.013562964753218082,0.006377647747575599,0.007185317005642483,0.8863983154296875,0.7826190476190477,0.6348636549298208,0.6215232030652265,0.9174491862348416
0.2,4199,16799,8400,20,4,0.24455820782983112,0.3247826342209005,1.586669762698559,1.2239853178631739,0.018453479373772237,0.013562964753218082,0.0028080529017109335,0.010754911851507148,0.8601725101470947,0.7823809523809524,0.6347531330205224,0.6214782912324343,0.9182923138649773
0.2,4199,16799,8400,20,5,0.24426850804611389,0.32508066739359903,1.5837215722939033,1.2245704408382807,0.004285969402940619,0.013562964753218082,0.006612719880006113,0.006950244873211969,0.8621208667755127,0.7805952380952381,0.6335844609904144,0.6203693979361388,0.9187154066667359
0.2,4199,16799,8400,23,1,0.23890310931206224,0.31355516707246145,0.9504556930042382,0.8598281836140965,0.018453479373772237,0.013562964753218082,0.0028080529017109335,0.010754911851507148,1.0880191326141357,0.7277380952380952,0.7428068046600808,0.6699560542213628,0.9116154247344597
0.2,4199,16799,8400,23,2,0.23873841696926407,0.3140984047079229,0.9698786691801681,0.866819132882913,0.004285969402940619,0.013562964753218082,0.006612719880006113,0.006950244873211969,1.0999908447265625,0.7222619047619048,0.7364002249631018,0.6582890455157043,0.9122615152866409
0.2,4199,16799,8400,23,3,0.23944679246780562,0.314580876461294,0.9864621630693261,0.907211735113106,0.013572236442645387,0.013562964753218082,0.0036337430880672983,0.009929221665150784,1.090904951095581,0.7264285714285714,0.7416877671532477,0.6658340015037422,0.912632008525211
0.2,4199,16799,8400,23,4,0.2395539417028791,0.3150923495357336,0.9627317123198066,0.870199439828726,0.006071789987499264,0.013562964753218082,0.0020678420250514473,0.011495122728166635,1.1002681255340576,0.726547619047619,0.7398955724250859,0.6675900306022249,0.9113869194779078
0.2,4199,16799,8400,23,5,0.23969879159473778,0.31444879977581935,0.980714289157333,0.8841919795104027,0.010833978212988891,0.013562964753218082,0.0012494310871968006,0.012313533666021281,1.0934014320373535,0.7307142857142858,0.7409820637837851,0.6714266168505967,0.9129235051650971
0.3,6299,14699,7350,12,1,0.26341247703925436,0.3420775029181945,3.973778940758926,2.5418187871868367,0.004217974011837496,0.010362205890270315,0.0005617416825215993,0.009800464207748716,0.47095823287963867,0.7587755102040816,0.6104431945329033,0.6037619892129338,0.9016285222924068
0.3,6299,14699,7350,12,2,0.26343061886296115,0.3413975840550512,3.9854622886082987,2.5479563507218788,0.010612966868494438,0.010362205890270315,0.006389314014506153,0.003972891875764162,0.44792771339416504,0.7602721088435375,0.6129130725850508,0.605528766113863,0.8974148174629961
0.3,6299,14699,7350,12,3,0.2638932353674853,0.34184327884715027,3.9849324205503596,2.5441031545505117,0.017688278114157407,0.010362205890270315,0.01852544021781194,0.008163234327541624,0.45065951347351074,0.7621768707482993,0.6113577875583927,0.6041882563666103,0.8996746826306654
0.3,6299,14699,7350,12,4,0.2645576796607479,0.3421258252933156,3.96727484687064,2.537423374157077,0.009252330090482368,0.010362205890270315,0.01120409949767237,0.0008418936074020555,0.4715428352355957,0.7654421768707483,0.6149325024906238,0.6077902103325226,0.8968117224886412
0.3,6299,14699,7350,12,5,0.26347824115019164,0.34136721576019274,3.9875134958829865,2.5443088227187043,0.00639499285665697,0.010362205890270315,0.005265277229575843,0.005096928660694472,0.45307254791259766,0.7574149659863946,0.6080257732700975,0.6013805174685377,0.8985162811594127
0.3,6299,14699,7350,16,1,0.25085153185023923,0.3271485399749488,2.537487941164979,1.807578323116945,0.00639499285665697,0.010362205890270315,0.005265277229575843,0.005096928660694472,0.594151496887207,0.7571428571428571,0.6032848878011166,0.5976891992894087,0.9163885613776238
0.3,6299,14699,7350,16,2,0.25085153185023923,0.3269802824335988,2.5424983279498563,1.8139160170355786,0.0029934009116266216,0.010362205890270315,0.0024546693675201736,0.007907536522750142,0.5895061492919922,0.7583673469387755,0.6057586220730851,0.6000858778910098,0.9045796537997558
0.3,6299,14699,7350,16,3,0.25100800507971066,0.3277412967181609,2.5346802839914258,1.8027898230653427,0.008027756990271424,0.010362205890270315,0.0012521731544428705,0.009110032735827445,0.8235297203063965,0.7582312925170068,0.6039188227240384,0.5984661084223121,0.9106890928073219
