observed_fraction,observed_rows,temporal_test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,test_spd,reconstructed_spd,runtime_seconds,spd_absolute_gap,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.2,1525,2872,16,4,0.3030640668523677,0.3924807398235136,3.795298908226725,3.2400144230367562,0.11211699164345404,0.03492082430605775,0.014405974287936107,0.1646409034729004,0.020514850018121644,0.7872562674094707,0.6340042486693698,0.6206678860548424,0.908028066974118
0.2,1525,2872,16,5,0.30257660167130923,0.3971785098428422,3.7663126338886252,3.1939108581453723,0.11699164345403903,0.03492082430605775,0.0007229834793896217,0.16693830490112305,0.03419784082666813,0.7834261838440112,0.6312668074652811,0.6172240299555888,0.9068241964107949
0.2,1525,2872,20,1,0.29806174558960075,0.3982915953191433,3.2268365799817884,2.9873033639941164,0.11699164345403903,0.03492082430605775,0.0007229834793896217,0.19254422187805176,0.03419784082666813,0.7907381615598886,0.6394459257576051,0.6214841100248786,0.9059392278172833
0.2,1525,2872,20,2,0.29634401114206127,0.40306953193168554,3.2354879213353116,2.9961893972835485,0.12604456824512542,0.03492082430605775,0.001886348588876402,0.20634055137634277,0.03303447571718135,0.7764623955431755,0.6238961329534296,0.6119544564892352,0.9090367643325903
0.2,1525,2872,20,3,0.3004874651810585,0.40072322443527764,3.2019784126297566,2.943193244222566,0.10445682451253488,0.03492082430605775,0.0043982919254658415,0.17204046249389648,0.03052253238059191,0.7858635097493036,0.6346253123784598,0.6188906419228106,0.9073823183986319
0.2,1525,2872,20,4,0.29720287836583104,0.4012412137651667,3.237648510005177,2.9831905176449354,0.10933147632311979,0.03492082430605775,0.007717591445622285,0.19544744491577148,0.027203232860435467,0.7823816155988857,0.6325166906255305,0.6169472163153293,0.9052742834357785
0.2,1525,2872,20,5,0.29792246982358406,0.4034935507619685,3.203585844236728,3.0210388240327744,0.08635097493036215,0.03492082430605775,0.03295710622897216,0.16555285453796387,0.001963718077085591,0.7855153203342619,0.6331279505394505,0.6203860940547694,0.9062764661252374
0.2,1525,2872,23,1,0.2918175487465181,0.39594332812163047,2.637548272926096,2.7653483781031007,0.10933147632311979,0.03492082430605775,0.007717591445622285,0.20978522300720215,0.027203232860435467,0.7284122562674095,0.7273097143181413,0.6589237208792367,0.9115654009681474
0.2,1525,2872,23,2,0.2910051067780873,0.3957243709654295,2.6525535517213887,2.856865650147288,0.08635097493036215,0.03492082430605775,0.03295710622897216,0.21651959419250488,0.001963718077085591,0.753133704735376,0.7337474869075993,0.6841615045760187,0.9138561663646896
0.2,1525,2872,23,3,0.2900301764159704,0.3967670920327555,2.637015619427842,2.7843385914684404,0.12952646239554322,0.03492082430605775,0.011472375803504187,0.2452545166015625,0.023448448502553565,0.741991643454039,0.7213051461646967,0.6702630900038175,0.9127803792616386
0.2,1525,2872,23,4,0.291399721448468,0.39694058607973376,2.6386404512372077,2.823246325002501,0.1406685236768803,0.03492082430605775,0.0009182000364365006,0.21741342544555664,0.03400262426962125,0.7437325905292479,0.72763626432868,0.6733172457979797,0.9118931337880369
0.2,1525,2872,23,5,0.2910747446610956,0.393886654495941,2.6347454210177705,2.7978200486489686,0.1288300835654596,0.03492082430605775,0.0043918918918919025,0.19027352333068848,0.03052893241416585,0.7437325905292479,0.7170361824505083,0.6762758894894476,0.9070362971897321
0.3,2288,2872,12,1,0.31369545032497675,0.4049101025431293,4.977794932126088,3.593237631042172,0.11350974930362115,0.03492082430605775,0.027525948997091598,0.09401345252990723,0.007394875308966153,0.754874651810585,0.5995341048517236,0.5942237947596039,0.8963961793968374
0.3,2288,2872,12,2,0.3128365831012071,0.4041215627695186,4.973556615765099,3.624637277064776,0.11350974930362125,0.03492082430605775,0.014082182070646404,0.11306381225585938,0.020838642235411348,0.7559192200557103,0.5992641647381393,0.5941975667616292,0.9003234948757723
0.3,2288,2872,12,3,0.31350974930362124,0.40427559363019827,4.9691703271377685,3.5884861387225624,0.1434540389972145,0.03492082430605775,0.02363696724605549,0.10737395286560059,0.011283857060002261,0.7520891364902507,0.596864215825313,0.5899023653583331,0.8905143973675028
0.3,2288,2872,12,4,0.312836583101207,0.4033102672395297,4.929365890367522,3.5937326095590567,0.11908077994428973,0.03492082430605775,0.006748299319727896,0.13161945343017578,0.028172524986329855,0.7587047353760445,0.6019960325518232,0.5951847737398606,0.9102987175431085
0.3,2288,2872,12,5,0.31566852367688014,0.4045128020210369,4.908272066893306,3.539920307799697,0.11420612813370477,0.03492082430605775,0.006752248681304085,0.13249421119689941,0.028168575624753667,0.7510445682451253,0.5962857919102843,0.590876711275019,0.8903291560953202
0.3,2288,2872,16,1,0.3041202414113277,0.4010568577066207,3.6364425143399655,3.0833527548244812,0.11420612813370477,0.03492082430605775,0.006752248681304085,0.16640472412109375,0.028168575624753667,0.7883008356545961,0.6349650541706687,0.6200579847816208,0.9007563188343701
0.3,2288,2872,16,2,0.3024257195914577,0.3998587834926521,3.7744341844295954,3.2022067521744058,0.13300835654596102,0.03492082430605775,0.010999883599115357,0.1695713996887207,0.023920940706942395,0.7594011142061281,0.6042568817270151,0.5961693235920352,0.9085758376399229
0.3,2288,2872,16,3,0.30218198700092846,0.400122976684793,3.694259527382144,3.1019200973732457,0.08913649025069643,0.03492082430605775,0.015910361479022,0.1709294319152832,0.01901046282703575,0.7590529247910863,0.6026635635640475,0.596530869716206,0.9075466299389463
0.3,2288,2872,16,4,0.29948932219127206,0.3977920884218623,3.699868142748739,3.146933146570387,0.1274373259052925,0.03492082430605775,0.0010380676598711613,0.14110827445983887,0.03388275664618659,0.782033426183844,0.6271073794912125,0.6149312920477831,0.9018374515745362
0.3,2288,2872,16,5,0.3019034354688951,0.3980179616527429,3.742582404072785,3.1758188864302195,0.1323119777158774,0.03492082430605775,0.013136021050269758,0.13660526275634766,0.021784803255787993,0.7607938718662952,0.6069672953451043,0.5989016463909336,0.9044949397579845
